"left_eye_center_x" "left_eye_center_y" "right_eye_center_x" "right_eye_center_y" "left_eye_inner_corner_x" "left_eye_inner_corner_y" "left_eye_outer_corner_x" "left_eye_outer_corner_y" "right_eye_inner_corner_x" "right_eye_inner_corner_y" "right_eye_outer_corner_x" "right_eye_outer_corner_y" "left_eyebrow_inner_end_x" "left_eyebrow_inner_end_y" "left_eyebrow_outer_end_x" "left_eyebrow_outer_end_y" "right_eyebrow_inner_end_x" "right_eyebrow_inner_end_y" "right_eyebrow_outer_end_x" "right_eyebrow_outer_end_y" "nose_tip_x" "nose_tip_y" "mouth_left_corner_x" "mouth_left_corner_y" "mouth_right_corner_x" "mouth_right_corner_y" "mouth_center_top_lip_x" "mouth_center_top_lip_y" "mouth_center_bottom_lip_x" "mouth_center_bottom_lip_y"
"1" 66.59264151 37.573915 30.33331075 35.87455942 60.50836972 38.35700206 73.0662802 38.29137244 36.62863044 37.17010319 23.87790896 36.07859541 57.53154247 29.07392907 78.61485735 30.07340625 39.84355402 29.05807061 18.10009876 28.19462368 49.40309695 55.7231697 61.57826373 76.33769655 33.01852391 75.40739155 47.79384659 69.55372836 47.31193789 81.69781863
"2" 66.595104 36.44194858 30.04665186 36.05339185 60.39180818 37.74576674 73.79050559 37.88137052 36.33279001 36.82437511 23.92182011 36.0885669 57.71541983 28.75475094 79.10818131 28.58720635 37.85114124 28.87397761 18.0352302 27.90623688 47.71768722 57.64902954 61.57451911 76.99268874 32.85583595 75.67815524 47.41252576 70.20858846 47.0555888 82.33953226
"3" 65.5967512 37.95748139 30.36621076 35.94060988 60.31867685 38.76633965 72.70773151 38.60340453 36.46429917 36.98687041 24.01885036 36.0369063 58.12416066 28.67113362 78.25254629 30.38618048 40.96575039 28.42709582 18.64944728 28.12562268 49.05342613 55.32981713 61.27670667 75.99701613 33.25559038 75.47458479 47.68421334 68.86842044 47.18073013 81.25437792
"4" 65.68542999 37.9724133 29.30320715 39.19688378 58.64338442 39.31227225 74.09362269 39.16810487 36.66363781 40.24047496 21.97736218 40.09432396 57.16627443 29.78275575 80.58328611 31.47798582 37.70489281 29.24665421 16.83904274 32.71869439 49.5370615 54.64037484 64.58026574 75.87862102 33.23696085 76.78267462 49.35337785 70.98745165 49.55650801 81.54339899
"5" 66.75527182 36.78303416 30.18705679 35.80284378 60.73933686 37.5601822 73.1733412 38.33429773 36.3531955 36.81015099 24.05114371 35.79142934 58.05731698 28.68659749 78.65489576 29.31781612 39.20119192 28.36206014 18.20993824 27.86626072 48.635341 55.49636059 61.21233033 76.93290247 33.06016302 75.27819086 47.45295258 68.86611402 46.95871075 82.18334928
"6" 65.50944052 37.88695255 29.31859175 38.96374136 58.52922128 39.29455633 74.57742567 38.95212646 37.13295604 40.05318494 21.67779852 39.86972754 56.90666139 30.14535602 80.44282487 30.21821729 39.81373029 29.96480393 15.2655284 32.63514855 50.32931196 55.86030997 64.74771571 75.30709726 33.35334565 76.56279521 50.01916589 72.71443749 49.91108082 80.75304495
"7" 66.54030613 37.90294429 29.31518104 38.39469973 58.79348573 39.09750714 74.89621944 38.86383925 36.96629208 39.34277227 20.92028942 38.82544489 57.44379792 28.98818543 81.10818824 31.06374957 40.12785457 28.09965047 13.99760852 30.68345725 49.88579203 57.33966353 63.36472645 76.57110924 32.07374439 76.68366797 47.60638353 73.29245201 47.98044547 82.92288375
"8" 65.78496875 36.90926764 29.75459212 36.05398364 60.06389751 37.55943958 73.12382205 37.95787428 36.34679008 36.76551057 23.80839769 36.22529102 57.9604929 28.48374689 78.60553923 29.06496688 38.27179403 28.82359708 18.10760233 28.19880981 47.73952404 55.32831881 61.74384785 75.00313526 33.28542099 75.44322938 47.53493238 68.71532619 47.22095697 81.59062049
"9" 65.52451294 38.06025183 30.32937378 36.14261342 60.20650817 38.97556212 72.96268955 38.68452523 36.62736047 37.94828799 23.90359467 36.27605642 58.05596549 28.61723168 78.59569343 30.69009211 40.88308763 27.93324045 18.24369217 28.37653707 49.22175683 55.80798323 61.9532747 76.43406082 32.95071132 75.70003062 47.71318613 68.87746408 47.65497439 82.09884841
"10" 65.89439859 36.75443106 30.10076125 36.31564483 59.26152802 37.74962231 74.29389523 37.43478173 36.54127707 37.00933376 23.87340289 36.41971968 57.98472311 28.70661333 78.90724842 28.23974585 40.29233152 28.12175404 17.85988042 28.3076602 48.60783638 58.23740455 64.46443143 75.12899636 32.94888861 75.39397096 48.48293395 68.85255094 48.07548797 81.88939721
"11" 66.71324394 37.90074929 30.39085886 35.86338395 60.48735226 38.88826115 73.19858988 38.62857995 36.95619184 37.1855479 23.93404319 36.07815754 57.95237386 29.11684602 78.98726001 30.92537193 40.88672855 28.83556316 18.14865663 28.36194629 49.2584843 56.81876671 61.52905855 77.44144002 32.88321762 75.70872854 47.61104109 70.99772795 47.23968135 82.6552393
"12" 65.57625494 38.2120363 30.08164474 38.08176096 59.37796187 39.00225882 73.1469267 38.74583349 36.82089925 39.61277793 23.66023706 38.20079913 57.5218134 28.9187185 79.13233777 30.74498276 40.13918187 28.27294457 17.42434615 30.80603722 48.7642384 57.91406632 63.25974807 77.23410389 33.06141903 76.05005086 48.45369115 73.24203893 48.50766919 83.26019441
"13" 66.57805273 36.46922594 30.20667993 36.11151008 60.35228315 37.73349949 73.45197431 37.91964648 36.3545627 36.95023016 24.06237894 35.96132328 57.23153782 28.86961348 78.58993935 28.6948461 39.12484442 28.76303132 18.23159107 27.83312503 47.83048343 58.29994844 61.31709763 77.30593696 32.81126913 75.54623596 47.38289199 70.60829598 46.99675796 82.33972609
"14" 67.10766273 37.91587055 30.01948314 35.84970716 60.62870862 38.68351174 73.29206814 38.74078616 36.30583939 36.79598892 23.73432129 35.99351261 58.10912199 28.43439317 80.05999973 31.25820678 38.06995943 27.5854381 17.81808441 28.0938553 47.63623698 56.44917674 61.12792459 77.75438853 32.76339826 75.67468176 47.29065504 72.33449277 47.0206898 83.60517773
"15" 66.73229922 37.54636168 30.21317907 35.9671743 60.53150151 38.84137893 73.49894763 38.504625 36.45080879 37.40116076 24.00303607 36.04922139 57.87026231 28.84175545 78.91178733 29.42446413 38.83819299 28.87273835 18.155587 27.95200659 48.09949688 57.62003637 61.29746693 77.77041947 32.85817823 75.71391455 47.4156397 73.52075962 47.06189755 82.69103877
"16" 66.92802197 37.70929233 30.2104911 35.88232883 60.64357676 38.52521739 73.5045658 38.54977793 36.3756046 36.98536138 23.89778021 36.02758705 58.23322171 28.67044875 79.06977898 29.36760748 38.48242069 28.35726597 18.16024759 28.06016857 48.58217639 55.12477761 61.50000275 76.94495686 32.97768058 75.41133155 47.53318649 69.24967051 47.15243647 82.0936066
"17" 66.79165395 38.15510603 29.30323049 38.54253206 59.65620958 38.99506293 74.72531719 38.84202101 36.4537523 39.47824225 21.0761928 38.73228309 56.60163549 28.83695741 81.19620454 31.35607187 38.14508097 27.99985127 13.6954776 31.88769138 47.28329135 58.0205835 62.9547981 78.00450296 32.34581121 76.97428712 47.61433591 74.54397153 47.74450694 84.26734288
"18" 65.26754752 36.83926033 30.28334505 38.53972647 58.67685092 37.41624222 72.47096968 37.00819286 37.17229884 39.39592056 23.88161533 38.43373387 57.63489596 29.45799094 77.97382166 28.98106823 40.02478269 30.3389061 18.59294563 32.47643727 50.30726351 57.66190154 64.93684541 74.48158064 33.80515792 75.11135351 50.07232086 68.60383101 50.05261409 80.06573655
"19" 65.40760942 37.78423049 29.64799696 38.75372732 59.00200458 39.1416908 72.68968694 38.75997853 36.7532829 39.91723928 23.4063184 39.76019266 57.48342385 29.59773879 78.76991297 31.17155592 38.08555509 29.488954 18.32091169 32.60644729 49.60979079 54.24132271 64.20498512 74.78898039 33.66621383 75.55520094 49.52092296 68.96581497 49.50699585 80.66440471
"20" 66.31561733 36.75988761 30.14881626 36.19549144 60.12442262 37.63065098 73.85875927 37.53364667 36.4226729 36.88655946 23.906956 36.23458219 58.07093367 28.78239134 78.67630409 28.46681854 39.96483939 28.54453366 18.20263561 28.18890937 48.86188048 57.18603397 63.38399988 75.4807261 32.92104242 75.36238684 48.33969249 68.79736625 47.70011136 81.63572685
"21" 65.31046048 37.81362888 30.05288428 38.90693242 58.85868967 39.15473856 72.63068364 38.7180081 36.92422333 39.98468069 23.63883741 39.94758312 57.51156725 29.50454695 78.38556126 30.33031077 38.05211958 29.03874199 18.37791388 32.60458479 50.05346411 54.62132369 64.77229738 74.76842585 33.72903079 75.66339128 49.99379833 69.41715721 50.0011955 80.59566303
