left_eye_center_x,left_eye_center_y,left_eye_inner_corner_x,left_eye_inner_corner_y,left_eyebrow_inner_end_x,left_eyebrow_inner_end_y,left_eye_outer_corner_x,left_eye_outer_corner_y,left_eyebrow_outer_end_x,left_eyebrow_outer_end_y,mouth_center_bottom_lip_y,mouth_center_top_lip_x,mouth_center_top_lip_y,mouth_left_corner_x,mouth_left_corner_y,mouth_right_corner_x,mouth_right_corner_y,nose_tip_x,nose_tip_y,right_eye_center_x,mouth_center_bottom_lip_x,right_eye_center_y,right_eye_inner_corner_x,right_eye_inner_corner_y,right_eyebrow_inner_end_x,right_eyebrow_inner_end_y,right_eye_outer_corner_x,right_eye_outer_corner_y,right_eyebrow_outer_end_x,right_eyebrow_outer_end_y
65.13017341,39.04097143,60.90213699,37.77843038,56.07205161,28.46524675,71.10628571,36.53327168,82.89514286,30.26383729,80.27178082,46.41466667,66.74886275,55.56887671,74.63221622,32.23104,77.76421053,50.10821053,52.70830769,28.96877419,48.13945946,38.00201325,34.76166443,37.17880519,39.49595031,30.27228493,22.07545946,37.50874286,16.49032258,26.27072542
68.152,38.70851765,61.2384,36.44391111,55.43192079,28.68746667,73.53980198,36.84115556,81.20983486,28.49893333,88.86807273,47.04276923,73.41312,63.93512727,76.03555556,33.36137143,74.43446154,47.37391304,55.9488,28.06615385,47.41178182,36.70153846,33.84184615,38.44400792,39.42317949,30.48515556,22.44916364,38.56512,12.74915888,27.63552
64.63036364,37.38819802,59.83658015,40.58821104,59.5664106,29.66259021,74.18273684,37.81297426,75.7595493,29.45044706,84.35948936,50.87505155,71.13469388,62.09532934,73.07025743,36.11691089,74.34392079,47.62217143,56.54138776,30.506,51.14981053,39.08730297,35.49921649,39.33643114,39.21230769,28.80655775,26.54845361,36.85159184,16.686,29.27022331
64.92844138,38.19162085,60.77668342,38.80174408,56.74536585,24.86955533,75.00590955,39.4118673,82.6961194,29.66078376,86.58472038,48.71030542,63.81179147,66.94172589,76.62164929,30.22706383,78.8583128,48.40174408,49.37493839,29.10992893,50.07222857,38.52355821,35.82161702,38.15429848,39.45874286,27.00843981,24.10900645,38.37207716,13.37994313,37.05021687
65.2245906,36.96623377,63.24588679,35.48492308,52.71108725,26.08608627,74.12950943,39.41163025,79.46368,32.47770166,92.70208,50.88775155,76.34061745,61.95750993,84.67984906,29.05815126,75.42912,48.26276923,49.62495413,28.43297959,46.69901299,37.7088,34.49641558,40.14556863,41.92,24.8604,23.10352941,38.10067081,17.86935099,32.96052459
66.84818182,37.97241081,57.86833735,36.58626977,53.80554745,31.82454545,74.75630769,40.28658228,80.84948454,31.31884492,80.56102128,48.02488889,63.81179147,64.83553247,79.17257143,28.94424615,78.12697872,47.55540426,63.25645714,27.4112,46.50546746,37.07058824,36.29477647,42.73619277,39.04904348,26.11556571,26.05469767,40.16281319,16.19832558,20.63902956
67.72902128,37.13290847,58.57077024,39.72953975,57.65320057,30.7558974,79.01834999,32.91097546,76.84874183,27.99285714,81.73864169,48.33864818,76.79121745,64.31540498,83.53701538,34.68635052,77.6244898,44.50857754,58.98928291,29.34689213,46.99308744,37.16874964,38.30148105,35.243,36.84054962,26.33125989,23.99323175,37.91129786,12.24944262,30.66920208
66.622,37.38819802,61.2384,39.96553846,55.15157522,31.7352,74.00174257,37.81297426,80.48564706,28.49893333,87.11854545,50.26434783,70.20970213,65.8427234,73.07025743,36.11691089,74.34392079,51.90638298,59.38327273,30.506,49.22592,39.08730297,38.49006186,37.81297426,36.74086957,32.32748936,26.54845361,38.27747629,17.958,30.65764404
66.77008696,36.56898318,60.41647059,40.46851765,56.02586301,30.37075663,73.92439216,42.15933333,82.85013333,33.38925988,85.48373965,47.17973333,64.2402,61.19530827,77.33642748,31.23031579,74.78917365,48.32488136,57.30461538,31.96661871,50.58797203,36.99567337,35.90117647,37.43242105,41.41133333,29.02189222,25.85349398,38.59128889,15.612,29.8056
66.07020408,36.40125,58.53039252,35.49904886,56.70553293,26.57079755,74.30686567,37.54813793,82.8822069,28.83161677,79.64088889,48.00124675,67.40005594,61.43590244,72.75209816,31.296,72.98367123,48.11324551,55.32137931,31.63285207,47.41777099,37.07267066,36.77289172,39.0825,41.3400916,25.33848276,20.9009396,37.0525509,16.77068263,29.09723077
65.46040268,38.05594631,60.30128302,40.65150968,56.47184314,31.14526452,71.755776,39.2706,77.08983439,29.34924,89.819136,47.12988535,63.1356,60.7344,69.5648,36.89372903,71.43317197,48.69016216,55.31384615,28.33852632,49.5117037,36.19654286,36.45810526,37.991808,38.76993631,26.98001569,24.46907317,36.74265263,19.08637975,26.23633548
64.7687574,38.82251497,58.94709677,41.15011765,55.37552663,31.14142373,71.676,40.50965854,79.22125191,35.62614634,91.43492683,47.78618182,77.77612214,61.58,81.70625954,33.892,81.36,47.30926829,58.70276923,30.11594947,46.90285714,39.19484746,36.41010526,39.45938824,42.0016,29.97378151,24.58692216,38.44243478,16.04604878,31.99553684
66.63352066,39.84765217,60.8504698,38.12258268,55.94573913,30.97489655,71.59602685,41.39188966,81.11871141,34.826,91.35591946,47.59117241,74.34189474,56.8908169,80.47642105,33.14907042,85.42107042,47.02029139,62.10394406,30.19096403,46.32105109,38.01126761,36.40105263,38.40133333,37.41448951,28.29616552,24.94437209,35.64082759,17.84494964,28.21028571
66.53271166,36.10270067,60.08311409,37.25450738,51.76351891,31.7352,72.75253691,35.42701652,81.39124832,25.44889128,83.18818792,47.45228571,71.51709091,62.71846154,73.3298255,35.77966265,84.15234783,42.43651007,59.61304615,26.6496,46.43158442,36.24841644,36.65193508,36.24841644,36.06185235,30.05711304,19.48348993,37.37156436,14.00727273,29.4450506
