left_eye_center_x,left_eye_center_y,right_eye_center_x,right_eye_center_y,left_eye_inner_corner_x,left_eye_inner_corner_y,left_eye_outer_corner_x,left_eye_outer_corner_y,right_eye_inner_corner_x,right_eye_inner_corner_y,right_eye_outer_corner_x,right_eye_outer_corner_y,left_eyebrow_inner_end_x,left_eyebrow_inner_end_y,left_eyebrow_outer_end_x,left_eyebrow_outer_end_y,right_eyebrow_inner_end_x,right_eyebrow_inner_end_y,right_eyebrow_outer_end_x,right_eyebrow_outer_end_y,nose_tip_x,nose_tip_y,mouth_left_corner_x,mouth_left_corner_y,mouth_right_corner_x,mouth_right_corner_y,mouth_center_top_lip_x,mouth_center_top_lip_y,mouth_center_bottom_lip_x,mouth_center_bottom_lip_y
65,38,29,37,57,40,70,40,38,39,24,41,56,26,76,26,41,26,14,27,49,54,65,75,30,75,45,70,45,81
67,36,27,37,60,37,74,36,35,38,20,38,59,29,82,26,36,30,12,31,49,58,66,75,33,77,46,73,45,83
65,36,31,38,59,37,71,37,38,39,22,38,58,30,76,28,39,32,17,27,44,55,60,76,35,76,51,72,51,83
65,39,32,40,57,39,73,40,38,40,25,41,54,30,79,32,40,31,16,33,48,54,66,76,32,77,45,72,51,82
63,38,27,40,57,39,72,39,39,40,20,41,53,31,81,30,42,30,14,30,49,54,65,77,34,76,48,71,48,82
66,38,29,38,59,38,74,39,37,38,23,39,53,31,79,31,38,30,17,31,47,54,63,74,35,76,48,72,50,82
66,35,26,35,59,37,70,38,39,36,19,36,58,27,76,27,41,27,12,27,44,54,65,76,30,78,51,70,45,85
67,36,30,36,60,37,74,37,37,37,22,37,59,30,82,30,38,29,14,31,44,54,64,73,35,74,50,69,51,81
64,39,31,38,58,40,71,40,38,39,22,39,56,31,78,32,41,29,16,31,47,56,61,76,31,76,46,72,45,82
66,36,30,35,59,37,73,37,37,36,23,36,56,27,78,27,40,26,17,28,50,54,64,73,33,73,48,69,48,82
67,39,30,35,60,40,74,40,38,37,22,36,58,31,81,32,40,28,18,27,48,54,62,78,33,77,48,73,48,83
65,38,31,38,59,39,72,39,38,38,23,39,56,30,79,32,41,29,16,32,44,57,60,77,35,78,49,74,48,84
66,36,32,39,58,39,74,36,39,39,25,39,55,30,79,28,41,30,18,29,50,60,65,74,29,74,45,69,48,81
64,37,30,36,62,39,70,38,37,38,20,36,53,26,82,26,39,26,12,27,44,59,60,74,35,73,49,70,48,80
66,39,31,37,59,39,75,40,39,38,23,38,57,31,79,26,40,30,18,27,47,60,63,78,31,79,45,75,45,85
67,36,28,34,60,37,74,37,36,34,22,35,57,29,80,30,39,26,17,27,46,60,60,72,35,73,49,69,47,79
65,37,29,36,58,38,73,38,37,37,22,37,55,28,80,31,40,27,14,30,48,57,60,78,32,78,46,75,46,85
63,36,32,39,56,37,70,37,38,40,25,39,55,29,76,29,41,31,18,33,44,59,65,72,30,73,45,69,45,79
63,36,30,37,56,37,70,36,36,38,23,38,56,30,78,29,38,32,16,27,44,54,60,74,35,74,51,71,51,81
64,34,29,35,58,35,71,35,36,35,22,36,54,26,76,26,39,26,15,28,48,59,63,72,33,73,45,69,45,79
63,36,31,37,57,37,70,36,37,38,22,38,56,28,78,29,40,30,14,31,44,56,62,73,35,74,51,69,51,79
67,38,29,37,58,37,72,39,33,39,23,38,56,27,82,26,42,26,18,27,47,59,61,72,35,73,48,69,50,79
66,38,30,35,59,39,73,39,37,36,22,36,56,29,80,30,39,28,18,27,48,54,63,75,34,75,49,71,49,81
64,39,32,36,56,40,71,40,38,37,25,36,54,32,81,32,39,28,18,27,44,57,60,73,35,73,50,71,45,79
64,35,30,38,58,36,72,35,35,39,23,39,57,32,79,27,38,32,16,33,50,60,66,72,33,73,45,69,46,79
66,34,26,40,56,35,76,36,35,40,20,41,53,27,82,26,37,32,13,31,48,54,66,72,35,75,51,70,51,80
66,37,27,36,59,37,74,38,35,37,21,37,57,30,82,30,39,31,15,30,46,56,63,77,33,76,45,72,51,84
67,38,30,37,60,38,76,39,39,38,23,38,56,28,80,26,42,27,18,27,47,54,63,75,32,74,47,70,47,83
66,36,28,36,59,38,74,37,36,38,21,37,55,32,82,26,39,32,15,27,46,60,60,78,34,79,47,75,47,85
64,34,32,38,56,36,70,35,39,39,25,38,55,27,76,26,40,30,18,31,48,60,64,72,33,73,45,69,48,79
